s/w_ratio,snippets,words,volid,date,author,title
0.00012771008308667758,17,133114,njp.32101054938418,1917,<blank>,The Harvard classics shelf of fiction
0.00012701638511367967,11,86603,uc2.ark:/13960/t73t9fn26,1907,"Tracy, Louis,",The captain of the Kansas
0.000126579073947495,5,39501,nyp.33433082539630,1918,"Bates, Gordon.",The khaki boys at the front
0.00012656531514763472,17,134318,nyp.33433076049174,1908,"Phillips, David Graham,",Old wives for new;
0.00012637631707817956,8,63303,uc2.ark:/13960/t00z75f1g,1921,"Arlen, Michael,",The romantic lady
0.0001262849493597353,5,39593,uc2.ark:/13960/t3zs2tr8n,1911,"McDonnell, Randal,",Ardnaree
0.00012605526262713575,35,277656,00010370,1932,"Broch, Hermann",The sleepwalkers
0.00012589928057553956,7,55600,uc2.ark:/13960/t02z12s0k,1911,"Gilman, Bradley,",The Sultan's rival
0.00012581089050520936,16,127175,uc2.ark:/13960/t1kh0g38h,1902,"Dumas, Alexandre,",Works
0.0001252128618651708,5,39932,00010691,1942,"Steinbeck, John",The moon is down
0.0001250893495353824,7,55960,mdp.39015005605053,1918,"Gorky, Maksim,",Creatures that once were men
0.00012500892920922922,7,55996,nyp.33433076074354,1913,"Lincoln, Natalie Sumner.",The lost despatch
0.00012455368263721665,12,96344,uc2.ark:/13960/t0xp6w200,1900,"Hemyng, Bracebridge,",Jack Harkaway after schooldays
0.00012426305107211399,9,72427,00010353,1931,"Hill, Grace Livingston",The chance of a lifetime
0.00012414906164000912,12,96658,wu.89015458482,1923,<blank>,The French immortals
0.00012366617200197866,7,56604,00010613,1940,"Hughes, Dorothy B.",The so blue marble
0.00012365694814651975,9,72782,00010703,1943,"Coxe, George Harmon",Murder for two
0.00012316612742009598,26,211097,mdp.39015066653190,1923,"Scott, Walter,",Works
0.00012261545212834612,19,154956,uc1.b3546810,1901,"Lover, Samuel,",The works of Samuel Lover
0.00012249522779008402,12,97963,uc2.ark:/13960/t9668bg71,1920,"Goldring, Douglas,",Margot's progress
0.00012246754610028342,14,114316,mdp.39015014430782,1911,"Herrick, Robert,",The healer
0.000121921482565228,5,41010,nyp.33433075764591,1919,"Tarkington, Booth,",Ramsey Milholland
0.00012177672237951716,4,32847,uc2.ark:/13960/t57d2sd80,1909,"Rothfield, Otto,",Indian dust
0.0001212268153715602,10,82490,00010854,1947,"Hobson, Laura Z.",Gentleman's agreement
0.0001201165130176271,12,99903,00010457,1934,"Slesinger, Tess",The unpossessed
0.00011990587388899713,16,133438,00010639,1941,"Glasgow, Ellen Anderson Gholson",In this our life
0.00011979544927037084,16,133561,uc2.ark:/13960/t3st7gp4c,1917,"Steel, Flora Annie Webster,",Mistress of men
0.000119786562125667,11,91830,uc2.ark:/13960/t8qc0139d,1900,"Ainsworth, William Harrison,",The works of William Harrison Ainsworth
0.00011935168166519466,5,41893,uc2.ark:/13960/t56d5qj6t,1902,"Young, Egerton Ryerson,",My dogs in the Northland
0.00011895840024743347,10,84063,00010363,1931,"Smith, Thorne",Turnabout
0.00011864038123109169,12,101146,mdp.39015085430067,1909,"Sylvester, Charles Herbert.",Journeys through Bookland;
